"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Área de atuação (Função)";"Programa de Governo";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250013 - NUCLEO ESTADUAL DO MS/AL";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"16.190,43";"16.190,43";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250029 - NUCLEO ESTADUAL DO MS/PE";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"42.364,37";"53.250,32";"0,00";
"08/2019";"81000 - Ministério da Mulher, Família e Direitos Humanos";"81000 - Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto";"810009 - SEC.NAC. DE PROM. E DEF.DOS DIR.DA PESS.IDOSA";"14 - Direitos da cidadania";"00 - NAO ATRIBUIDO";"298.476,60";"0,00";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250016 - NUCLEO ESTADUAL DO MS/BA";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"62.257,00";"55.875,05";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250015 - NUCLEO ESTADUAL DO MS/AM";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"6.371,29";"6.371,29";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160101 - 23 COMPANHIA DE ENGENHARIA DE COMBATE";"26 - Transporte";"00 - NAO ATRIBUIDO";"0,00";"0,00";"13.846,70";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250038 - NUCLEO ESTADUAL DO MS/SE";"10 - Saúde";"00 - NAO ATRIBUIDO";"30.000,00";"30.702,07";"26.750,23";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250104 - HOSPITAL FEDERAL CARDOSO FONTES";"10 - Saúde";"00 - NAO ATRIBUIDO";"4.578,58";"4.578,58";"4.578,58";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160443 - 63 BATALHAO DE INFANTARIA";"12 - Educação";"00 - NAO ATRIBUIDO";"6.145,44";"0,00";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250017 - NUCLEO ESTADUAL DO MS/CE";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"20.927,51";"20.927,51";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160156 - 44 BATALHAO DE INFANTARIA MOTORIZADO";"12 - Educação";"00 - NAO ATRIBUIDO";"79.993,59";"11.071,50";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250042 - HOSPITAL FEDERAL DE BONSUCESSO";"10 - Saúde";"00 - NAO ATRIBUIDO";"16.233,42";"12.303,03";"8.555,18";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"110404 - DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"09 - Previdência social";"00 - NAO ATRIBUIDO";"0,00";"1.271.631,05";"1.281.417,36";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160165 - 8. DEPOSITO DE SUPRIMENTO";"12 - Educação";"00 - NAO ATRIBUIDO";"9.831,28";"0,00";"0,00";"0,00";
"08/2019";"30000 - Ministério da Justiça e Segurança Pública";"30000 - Ministério da Justiça e Segurança Pública - Unidades com vínculo direto";"200006 - COORDENACAO-GERAL DE GESTÃO DE PESSOAS-CGGP";"28 - Encargos especiais";"00 - NAO ATRIBUIDO";"0,00";"2.738,78";"2.738,78";"0,00";
